농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0000347_01,1,1,1,5,20150113,,,116,20150509,18,1,3,14,,,,,,19,20150528,11
PF_0000347_01,1,2,1,5,20150602,,,112,20150922,15,1,0,14,,,,,,23,20151015,12
PF_0000347_01,3,1,1,5,20150106,,,118,20150504,3,0,0,3,,,,,,24,20150528,12
PF_0000347_01,3,2,2,0,20150623,,,116,20151017,15,1,0,14,,,,,,26,20151112,10
PF_0000347_01,4,1,1,5,20150113,,,117,20150510,18,1,5,12,,,,,,18,20150528,12
PF_0000347_01,4,2,2,0,20150724,,,117,20151118,15,0,2,13,,,,,,29,20151217,10
PF_0000347_01,5,1,2,0,20150209,,,116,20150605,12,0,0,12,,,,,,20,20150625,11
PF_0000347_01,5,2,2,0,20150720,,,118,20151115,5,0,0,5,,,,,,25,20151210,10
PF_0000347_01,19,1,2,0,20150210,,,115,20150605,15,0,0,15,,,,,,20,20150625,11
PF_0000347_01,19,2,1,5,20150630,,,114,20151022,7,0,0,7,,,,,,28,20151119,10
PF_0000347_01,22,1,1,5,20150120,,,113,20150513,12,1,0,11,,,,,,22,20150604,11
PF_0000347_01,22,2,2,0,20150630,,,114,20151022,16,0,2,14,,,,,,28,20151119,10
PF_0000347_01,24,0,1,249,20140914,,,115,20150107,12,0,2,10,,,,,,22,20150129,10
PF_0000347_01,24,1,2,0,20150224,,,116,20150620,13,1,1,11,,,,,,19,20150709,12
PF_0000347_01,24,2,2,0,20150806,,,115,20151129,18,0,2,16,,,,,,25,20151224,10
PF_0000347_01,25,0,1,242,20140922,,,115,20150115,14,2,1,11,,,,,,28,20150212,10
PF_0000347_01,25,1,1,5,20150217,,,114,20150611,10,0,0,10,,,,,,21,20150702,10
PF_0000347_01,25,2,1,4,20150706,,,115,20151029,17,2,1,14,,,,,,28,20151126,11
PF_0000347_01,26,0,1,242,20140916,,,116,20150110,15,0,4,11,,,,,,26,20150205,10
PF_0000347_01,26,1,1,6,20150211,,,117,20150608,21,3,3,15,,,,,,17,20150625,12
PF_0000347_01,26,2,1,6,20150701,,,119,20151028,11,0,1,10,,,,,,22,20151119,10
PF_0000347_01,27,1,1,5,20150120,,,116,20150516,3,0,0,3,,,,,,19,20150604,12
PF_0000347_01,27,2,1,5,20150609,,,116,20151003,11,0,0,11,,,,,,26,20151029,10
PF_0000347_01,35,1,1,6,20150121,,,116,20150517,13,0,3,10,,,,,,25,20150611,10
PF_0000347_01,35,2,1,5,20150616,,,117,20151011,5,0,1,4,,,,,,25,20151105,10
PF_0000347_01,36,0,1,241,20141010,,,118,20150205,14,1,0,13,,,,,,21,20150226,11
PF_0000347_01,36,1,2,0,20150323,,,116,20150717,12,0,0,12,,,,,,27,20150813,11
PF_0000347_01,36,2,1,4,20150817,,,115,20151210,8,0,0,8,,,,,,28,20160107,10
PF_0000347_01,37,1,1,5,20150127,,,116,20150523,12,0,1,11,,,,,,19,20150611,11
PF_0000347_01,37,2,1,5,20150616,,,119,20151013,12,0,1,11,,,,,,23,20151105,11
PF_0000347_01,38,1,1,6,20150121,,,116,20150517,17,1,5,11,,,,,,18,20150604,11
PF_0000347_01,38,2,2,0,20150721,,,116,20151114,16,1,1,14,,,,,,26,20151210,10
PF_0000347_01,39,1,1,5,20150120,,,116,20150516,10,0,0,10,,,,,,19,20150604,10
PF_0000347_01,39,2,1,5,20150609,,,118,20151005,12,2,3,7,,,,,,24,20151029,10
PF_0000347_01,41,0,1,339,20141202,,,114,20150326,15,2,1,12,,,,,,21,20150416,11
PF_0000347_01,41,1,1,6,20150422,,,116,20150816,11,0,1,10,,,,,,25,20150910,10
PF_0000347_01,43,0,1,242,20140928,,,116,20150122,7,0,0,7,,,,,,21,20150212,10
PF_0000347_01,43,1,2,0,20150310,,,112,20150630,8,0,1,7,,,,,,23,20150723,10
PF_0000347_01,45,1,1,5,20150120,,,114,20150514,15,1,0,14,,,,,,21,20150604,11
PF_0000347_01,45,2,1,5,20150609,,,115,20151002,10,0,0,10,,,,,,27,20151029,10
PF_0000347_01,46,0,1,241,20141015,,,117,20150209,12,0,3,9,,,,,,24,20150305,10
PF_0000347_01,46,1,1,5,20150310,,,115,20150703,11,0,0,11,,,,,,20,20150723,11
PF_0000347_01,46,2,1,5,20150728,,,118,20151123,5,0,1,4,,,,,,24,20151217,10
PF_0000347_01,49,0,1,242,20140929,,,118,20150125,14,1,1,12,,,,,,25,20150219,10
PF_0000347_01,49,1,1,5,20150224,,,116,20150620,18,3,5,10,,,,,,19,20150709,12
PF_0000347_01,49,2,1,5,20150714,,,118,20151109,14,2,0,12,,,,,,24,20151203,10
PF_0000347_01,50,0,1,241,20141008,,,116,20150201,9,0,0,9,,,,,,25,20150226,10
PF_0000347_01,50,1,2,0,20150322,,,117,20150717,15,1,1,13,,,,,,27,20150813,11
PF_0000347_01,50,2,2,0,20150906,,,116,20151231,8,0,1,7,,,,,,28,20160128,10
PF_0000347_01,55,1,1,5,20141223,,,115,20150417,6,0,0,6,,,,,,20,20150507,12
PF_0000347_01,55,2,1,5,20150512,,,116,20150905,8,2,0,6,,,,,,26,20151001,10
PF_0000347_01,56,0,1,241,20141018,,,118,20150213,9,0,2,7,,,,,,20,20150305,10
PF_0000347_01,56,1,1,5,20150310,,,115,20150703,18,2,6,10,,,,,,20,20150723,11
PF_0000347_01,56,2,1,4,20150727,,,117,20151121,14,0,3,11,,,,,,26,20151217,10
PF_0000347_01,57,0,1,244,20141124,,,117,20150321,13,1,0,12,,,,,,26,20150416,11
PF_0000347_01,57,1,2,0,20150515,,,116,20150908,13,0,1,12,,,,,,23,20151001,10
PF_0000347_01,58,0,1,244,20141117,,,119,20150316,12,1,1,10,,,,,,24,20150409,11
PF_0000347_01,58,1,2,0,20150707,,,119,20151103,17,0,2,15,,,,,,23,20151126,11
PF_0000347_01,59,0,1,244,20141129,,,116,20150325,14,0,0,14,,,,,,22,20150416,11
PF_0000347_01,59,1,1,6,20150422,,,114,20150814,10,0,0,10,,,,,,27,20150910,10
PF_0000347_01,60,0,1,243,20141202,,,119,20150331,10,0,0,10,,,,,,23,20150423,12
PF_0000347_01,60,1,1,5,20150428,,,116,20150822,11,1,1,9,,,,,,26,20150917,10
PF_0000347_01,61,0,1,241,20141017,,,118,20150212,13,1,0,12,,,,,,21,20150305,10
PF_0000347_01,61,1,1,5,20150310,,,116,20150704,14,4,0,10,,,,,,19,20150723,10
PF_0000347_01,61,2,1,5,20150728,,,117,20151122,13,1,3,9,,,,,,25,20151217,10
PF_0000347_01,62,0,1,243,20141201,,,118,20150329,14,3,0,11,,,,,,25,20150423,12
PF_0000347_01,62,1,1,4,20150427,,,116,20150821,14,2,0,12,,,,,,27,20150917,10
PF_0000347_01,63,0,1,266,20141111,,,114,20150305,6,0,0,6,,,,,,16,20150321,10
PF_0000347_01,63,1,1,10,20150331,,,117,20150726,13,1,1,11,,,,,,25,20150820,10
PF_0000347_01,63,2,1,5,20150825,,,118,20151221,15,3,2,10,,,,,,24,20160114,10
PF_0000347_01,64,0,1,241,20141012,,,119,20150208,8,0,0,8,,,,,,25,20150305,10
PF_0000347_01,64,1,1,5,20150310,,,116,20150704,14,3,1,10,,,,,,19,20150723,11
PF_0000347_01,64,2,1,5,20150728,,,120,20151125,11,1,2,8,,,,,,22,20151217,10
PF_0000347_01,65,0,1,244,20141106,,,119,20150305,14,2,0,12,,,,,,16,20150321,10
PF_0000347_01,65,1,1,9,20150330,,,118,20150726,8,0,0,8,,,,,,25,20150820,12
PF_0000347_01,65,2,1,5,20150825,,,120,20151223,6,0,0,6,,,,,,29,20160121,9
PF_0000347_01,66,0,1,241,20141019,,,119,20150215,6,0,0,6,,,,,,25,20150312,11
PF_0000347_01,67,0,1,241,20141022,,,119,20150218,12,0,0,12,,,,,,22,20150312,11
PF_0000347_01,67,1,1,5,20150317,,,118,20150713,14,2,0,12,,,,,,24,20150806,10
PF_0000347_01,67,2,1,5,20150811,,,117,20151206,19,2,4,13,,,,,,25,20151231,10
PF_0000347_01,68,0,1,241,20141011,,,118,20150206,13,1,2,10,,,,,,20,20150226,12
PF_0000347_01,68,1,2,0,20150322,,,117,20150717,11,0,1,10,,,,,,27,20150813,10
PF_0000347_01,69,0,1,249,20141108,,,115,20150303,14,1,0,13,,,,,,18,20150321,10
PF_0000347_01,69,1,1,9,20150330,,,117,20150725,10,0,0,10,,,,,,19,20150813,10
PF_0000347_01,69,2,1,4,20150817,,,116,20151211,10,0,0,10,,,,,,27,20160107,10
PF_0000347_01,72,1,1,5,20150120,,,113,20150513,13,3,1,9,,,,,,22,20150604,12
PF_0000347_01,72,2,1,5,20150609,,,115,20151002,4,0,0,4,,,,,,27,20151029,10
PF_0000347_01,85,1,1,5,20150113,,,115,20150508,15,2,1,12,,,,,,20,20150528,11
PF_0000347_01,85,2,1,5,20150602,,,115,20150925,14,0,4,10,,,,,,27,20151022,10
PF_0000347_01,86,1,2,0,20150209,,,118,20150607,8,0,0,8,,,,,,18,20150625,11
PF_0000347_01,86,2,1,5,20150630,,,119,20151027,13,1,1,11,,,,,,23,20151119,11
PF_0000347_01,428,0,1,244,20141123,,,117,20150320,12,0,0,12,,,,,,20,20150409,10
PF_0000347_01,428,1,1,4,20150413,,,116,20150807,8,1,0,7,,,,,,20,20150827,10
PF_0000347_01,428,2,1,4,20150831,,,116,20151225,10,0,0,10,,,,,,27,20160121,10
PF_0000347_01,430,0,1,244,20141122,,,117,20150319,3,0,2,1,,,,,,28,20150416,11
PF_0000347_01,430,1,1,18,20150504,,,117,20150829,15,2,1,12,,,,,,26,20150924,10
PF_0000347_01,432,0,1,244,20141122,,,117,20150319,4,0,0,4,,,,,,21,20150409,11
PF_0000347_01,432,1,1,4,20150413,,,117,20150808,13,1,2,10,,,,,,19,20150827,10
PF_0000347_01,432,2,1,5,20150901,,,115,20151225,14,1,0,13,,,,,,27,20160121,10
PF_0000347_01,433,0,1,244,20141120,,,116,20150316,16,1,3,12,,,,,,24,20150409,11
PF_0000347_01,433,1,1,4,20150413,,,117,20150808,10,0,0,10,,,,,,19,20150827,10
PF_0000347_01,433,2,1,4,20150831,,,117,20151226,14,1,1,12,,,,,,26,20160121,10
PF_0000347_01,434,0,1,244,20141122,,,116,20150318,12,2,0,10,,,,,,22,20150409,10
PF_0000347_01,434,1,1,4,20150413,,,117,20150808,13,2,1,10,,,,,,19,20150827,10
PF_0000347_01,434,2,1,5,20150901,,,116,20151226,11,1,2,8,,,,,,26,20160121,10
PF_0000347_01,435,14,1,5,20141216,,,115,20150410,10,0,1,9,,,,,,20,20150430,11
PF_0000347_01,435,15,1,5,20150505,,,116,20150829,4,0,0,4,,,,,,26,20150924,10
PF_0000347_01,436,0,1,241,20141018,,,117,20150212,12,0,0,12,,,,,,21,20150305,10
PF_0000347_01,436,1,1,12,20150317,,,120,20150715,5,3,0,2,,,,,,22,20150806,11
PF_0000347_01,436,2,1,10,20150816,,,117,20151211,14,1,1,12,,,,,,27,20160107,10
PF_0000347_01,439,0,1,244,20141125,,,117,20150322,15,2,1,12,,,,,,25,20150416,11
PF_0000347_01,439,1,2,0,20150510,,,117,20150904,16,3,0,13,,,,,,27,20151001,10
PF_0000347_01,441,0,1,243,20141202,,,117,20150329,12,1,0,11,,,,,,25,20150423,11
PF_0000347_01,441,1,1,4,20150427,,,117,20150822,16,2,0,14,,,,,,26,20150917,10
PF_0000347_01,442,0,1,241,20141026,,,116,20150219,13,0,0,13,,,,,,21,20150312,11
PF_0000347_01,442,1,2,0,20150407,,,116,20150801,18,3,1,14,,,,,,26,20150827,10
PF_0000347_01,443,0,1,249,20150126,,,115,20150521,17,3,0,14,,,,,,21,20150611,10
PF_0000347_01,443,1,2,0,20150709,,,119,20151105,19,2,2,15,,,,,,28,20151203,11
PF_0000347_01,444,0,1,244,20141126,,,119,20150325,2,0,1,1,,,,,,22,20150416,11
PF_0000347_01,444,1,1,4,20150420,,,115,20150813,19,3,3,13,,,,,,28,20150910,10
PF_0000347_01,445,0,1,244,20150104,,,118,20150502,14,1,2,11,,,,,,19,20150521,12
PF_0000347_01,445,1,1,4,20150525,,,118,20150920,15,2,3,10,,,,,,25,20151015,11
PF_0000347_01,446,0,1,249,20141215,,,115,20150409,14,1,0,13,,,,,,21,20150430,11
PF_0000347_01,446,1,1,4,20150504,,,118,20150830,8,0,2,6,,,,,,25,20150924,10
PF_0000347_01,447,0,1,243,20141207,,,118,20150404,13,0,0,13,,,,,,19,20150423,11
PF_0000347_01,447,1,1,4,20150427,,,117,20150822,7,0,0,7,,,,,,26,20150917,10
PF_0000347_01,448,0,1,244,20141121,,,114,20150315,10,1,2,7,,,,,,25,20150409,11
PF_0000347_01,448,1,1,5,20150414,,,115,20150807,15,5,0,10,,,,,,20,20150827,10
PF_0000347_01,448,2,1,4,20150831,,,116,20151225,8,0,0,8,,,,,,27,20160121,9
PF_0000347_01,449,0,1,244,20141128,,,117,20150325,10,1,0,9,,,,,,22,20150416,11
PF_0000347_01,450,0,1,249,20150121,,,115,20150516,12,0,0,12,,,,,,19,20150604,11
PF_0000347_01,450,1,2,0,20150822,,,117,20151217,18,0,3,15,,,,,,28,20160114,10
PF_0000347_01,451,0,1,244,20150116,,,116,20150512,12,0,0,12,,,,,,23,20150604,11
PF_0000347_01,451,1,2,0,20150701,,,117,20151026,12,1,0,11,,,,,,24,20151119,11
PF_0000347_01,452,0,1,244,20141122,,,116,20150318,15,2,0,13,,,,,,22,20150409,10
PF_0000347_01,452,1,1,5,20150414,,,116,20150808,18,0,7,11,,,,,,19,20150827,10
PF_0000347_01,452,2,1,4,20150831,,,116,20151225,13,2,3,8,,,,,,27,20160121,8
PF_0000347_01,453,0,1,244,20141122,,,116,20150318,13,0,1,12,,,,,,22,20150409,11
PF_0000347_01,453,1,1,5,20150414,,,116,20150808,14,2,1,11,,,,,,19,20150827,10
PF_0000347_01,454,0,1,244,20141124,,,118,20150322,10,0,0,10,,,,,,25,20150416,11
