ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-01-02,8.563600000000001,5.747440039262071,11.039393090859145,8.563600000000001,8.563600000000001,-0.06544856681491258,-0.06544856681491258,-0.06544856681491258,-0.025336235198201714,-0.025336235198201714,-0.025336235198201714,-0.04011233161671085,-0.04011233161671085,-0.04011233161671085,0.0,0.0,0.0,8.498151433185088
2012-01-03,8.564609778142975,5.528662617079157,10.94450211891957,8.564609778142975,8.564609778142975,-0.23152401864779915,-0.23152401864779915,-0.23152401864779915,-0.2041446097880658,-0.2041446097880658,-0.2041446097880658,-0.027379408859733362,-0.027379408859733362,-0.027379408859733362,0.0,0.0,0.0,8.333085759495177
2012-01-04,8.56561955628595,5.90102330320063,11.19308884568424,8.56561955628595,8.56561955628595,-0.01575737945434015,-0.01575737945434015,-0.01575737945434015,-0.0007380478019717776,-0.0007380478019717776,-0.0007380478019717776,-0.015019331652368371,-0.015019331652368371,-0.015019331652368371,0.0,0.0,0.0,8.54986217683161
2012-01-05,8.566629334428924,6.177352461507671,11.56842018282218,8.566629334428924,8.566629334428924,0.20582333756527113,0.20582333756527113,0.20582333756527113,0.20900795000033257,0.20900795000033257,0.20900795000033257,-0.0031846124350614286,-0.0031846124350614286,-0.0031846124350614286,0.0,0.0,0.0,8.772452671994195
2012-01-06,8.567639112571898,5.838775271829202,11.30164092698929,8.567639112571898,8.567639112571898,0.057376755992197576,0.057376755992197576,0.057376755992197576,0.049406240033133035,0.049406240033133035,0.049406240033133035,0.007970515959064539,0.007970515959064539,0.007970515959064539,0.0,0.0,0.0,8.625015868564097
2012-01-07,8.568648890714874,5.829341183424995,11.356023648392547,8.568648890714874,8.568648890714874,0.060936097607233945,0.060936097607233945,0.060936097607233945,0.04264363351599823,0.04264363351599823,0.04264363351599823,0.01829246409123571,0.01829246409123571,0.01829246409123571,0.0,0.0,0.0,8.629584988322108
2012-01-08,8.569658668857848,5.846334147476066,11.333206861087517,8.569658668857848,8.569658668857848,-0.043208082911643485,-0.043208082911643485,-0.043208082911643485,-0.07083893076072853,-0.07083893076072853,-0.07083893076072853,0.027630847849085052,0.027630847849085052,0.027630847849085052,0.0,0.0,0.0,8.526450585946204
2012-01-10,8.571678225143797,5.726339579434859,10.943651527184795,8.571678225143797,8.571678225143797,-0.1613567909915003,-0.1613567909915003,-0.1613567909915003,-0.20414460978753465,-0.20414460978753465,-0.20414460978753465,0.04278781879603432,0.04278781879603432,0.04278781879603432,0.0,0.0,0.0,8.410321434152298
2012-01-11,8.572688003286771,6.078758171384262,11.187872596445086,8.572688003286771,8.572688003286771,0.04760853361160998,0.04760853361160998,0.04760853361160998,-0.0007380478034203314,-0.0007380478034203314,-0.0007380478034203314,0.04834658141503031,0.04834658141503031,0.04834658141503031,0.0,0.0,0.0,8.620296536898381
2012-01-12,8.573697781429745,6.206273929626378,11.52809084120506,8.573697781429745,8.573697781429745,0.2614158002403663,0.2614158002403663,0.2614158002403663,0.20900795000002703,0.20900795000002703,0.20900795000002703,0.05240785024033928,0.05240785024033928,0.05240785024033928,0.0,0.0,0.0,8.835113581670111
2012-01-13,8.574707559572719,6.047801965007469,11.294182561954111,8.574707559572719,8.574707559572719,0.10428545370740698,0.10428545370740698,0.10428545370740698,0.04940624003293345,0.04940624003293345,0.04940624003293345,0.05487921367447353,0.05487921367447353,0.05487921367447353,0.0,0.0,0.0,8.678993013280126
2012-01-14,8.575717337715695,5.910244817312347,11.480837963788492,8.575717337715695,8.575717337715695,0.09833174000245781,0.09833174000245781,0.09833174000245781,0.042643633515866884,0.042643633515866884,0.042643633515866884,0.05568810648659095,0.05568810648659095,0.05568810648659095,0.0,0.0,0.0,8.674049077718152
2012-01-15,8.576727115858668,5.802512313352684,11.226420839270085,8.576727115858668,8.576727115858668,-0.016054729617626162,-0.016054729617626162,-0.016054729617626162,-0.07083893076078138,-0.07083893076078138,-0.07083893076078138,0.05478420114315523,0.05478420114315523,0.05478420114315523,0.0,0.0,0.0,8.560672386241043
2012-01-16,8.577736894001644,5.858858294896424,11.291947495787012,8.577736894001644,8.577736894001644,0.02680527128371145,0.02680527128371145,0.02680527128371145,-0.025336235198248236,-0.025336235198248236,-0.025336235198248236,0.052141506481959685,0.052141506481959685,0.052141506481959685,0.0,0.0,0.0,8.604542165285356
2012-01-17,8.578746672144618,5.726663948297934,11.078755493921173,8.578746672144618,8.578746672144618,-0.15638450197604464,-0.15638450197604464,-0.15638450197604464,-0.20414460978788784,-0.20414460978788784,-0.20414460978788784,0.047760107811843186,0.047760107811843186,0.047760107811843186,0.0,0.0,0.0,8.422362170168574
2012-01-18,8.579756450287594,5.772805307880025,11.290395655860504,8.579756450287594,8.579756450287594,0.04092943984888289,0.04092943984888289,0.04092943984888289,-0.0007380478028583758,-0.0007380478028583758,-0.0007380478028583758,0.04166748765174127,0.04166748765174127,0.04166748765174127,0.0,0.0,0.0,8.620685890136476
2012-01-20,8.581776006573543,5.94348160483722,11.189769852189409,8.581776006573543,8.581776006573543,0.07400630661805392,0.07400630661805392,0.07400630661805392,0.04940624003273384,0.04940624003273384,0.04940624003273384,0.02460006658532008,0.02460006658532008,0.02460006658532008,0.0,0.0,0.0,8.655782313191597
2012-01-23,8.584805341002467,5.98535872362706,11.373654521689396,8.584805341002467,8.584805341002467,-0.03685833506108309,-0.03685833506108309,-0.03685833506108309,-0.025336235198140433,-0.025336235198140433,-0.025336235198140433,-0.011522099862942657,-0.011522099862942657,-0.011522099862942657,0.0,0.0,0.0,8.547947005941383
2012-01-24,8.58581511914544,5.9294644718106015,11.01756090271616,8.58581511914544,8.58581511914544,-0.22987623136519159,-0.22987623136519159,-0.22987623136519159,-0.20414460978777554,-0.20414460978777554,-0.20414460978777554,-0.02573162157741601,-0.02573162157741601,-0.02573162157741601,0.0,0.0,0.0,8.35593888778025
2012-01-27,8.588844453574364,5.714203489490215,11.389997142433582,8.588844453574364,8.588844453574364,-0.022510187813128624,-0.022510187813128624,-0.022510187813128624,0.04940624003287936,0.04940624003287936,0.04940624003287936,-0.07191642784600799,-0.07191642784600799,-0.07191642784600799,0.0,0.0,0.0,8.566334265761235
2012-01-28,8.589854231717338,5.90452733255456,10.943744784764352,8.589854231717338,8.589854231717338,-0.0450373279269603,-0.0450373279269603,-0.0450373279269603,0.04264363351615231,0.04264363351615231,0.04264363351615231,-0.0876809614431126,-0.0876809614431126,-0.0876809614431126,0.0,0.0,0.0,8.544816903790377
2012-01-29,8.590864009860312,5.7876077457550155,11.035295824534582,8.590864009860312,8.590864009860312,-0.17403591016270323,-0.17403591016270323,-0.17403591016270323,-0.07083893076075098,-0.07083893076075098,-0.07083893076075098,-0.10319697940195222,-0.10319697940195222,-0.10319697940195222,0.0,0.0,0.0,8.416828099697609
2012-01-30,8.591873788003287,5.761609586373256,11.205080530378854,8.591873788003287,8.591873788003287,-0.1435347303319631,-0.1435347303319631,-0.1435347303319631,-0.025336235198306394,-0.025336235198306394,-0.025336235198306394,-0.11819849513365671,-0.11819849513365671,-0.11819849513365671,0.0,0.0,0.0,8.448339057671324
2012-02-02,8.59490312243221,6.096868996588312,11.397720425201436,8.59490312243221,8.59490312243221,0.0514837299122372,0.0514837299122372,0.0514837299122372,0.209007950000343,0.209007950000343,0.209007950000343,-0.15752422008810582,-0.15752422008810582,-0.15752422008810582,0.0,0.0,0.0,8.646386852344447
2012-02-03,8.595912900575184,6.0229522611376725,11.214057347906905,8.595912900575184,8.595912900575184,-0.11852613552237712,-0.11852613552237712,-0.11852613552237712,0.04940624003300605,0.04940624003300605,0.04940624003300605,-0.16793237555538318,-0.16793237555538318,-0.16793237555538318,0.0,0.0,0.0,8.477386765052808
2012-02-04,8.59692267871816,5.710516405243119,11.254126405371462,8.59692267871816,8.59692267871816,-0.13398752937556102,-0.13398752937556102,-0.13398752937556102,0.042643633516160774,0.042643633516160774,0.042643633516160774,-0.17663116289172182,-0.17663116289172182,-0.17663116289172182,0.0,0.0,0.0,8.462935149342599
2012-02-05,8.597932456861134,5.684238339101066,11.142400226145543,8.597932456861134,8.597932456861134,-0.25427987852877987,-0.25427987852877987,-0.25427987852877987,-0.07083893076080383,-0.07083893076080383,-0.07083893076080383,-0.18344094776797604,-0.18344094776797604,-0.18344094776797604,0.0,0.0,0.0,8.343652578332353
2012-02-06,8.59894223500411,5.812806396396361,10.987972790581512,8.59894223500411,8.59894223500411,-0.21354760326897682,-0.21354760326897682,-0.21354760326897682,-0.02533623519819859,-0.02533623519819859,-0.02533623519819859,-0.1882113680707782,-0.1882113680707782,-0.1882113680707782,0.0,0.0,0.0,8.385394631735133
2012-02-07,8.599952013147083,5.52855415422647,11.085265953771824,8.599952013147083,8.599952013147083,-0.39496910850871875,-0.39496910850871875,-0.39496910850871875,-0.2041446097876441,-0.2041446097876441,-0.2041446097876441,-0.19082449872107468,-0.19082449872107468,-0.19082449872107468,0.0,0.0,0.0,8.204982904638365
2012-02-09,8.601971569433033,5.994599274843141,11.298872631670292,8.601971569433033,8.601971569433033,0.0197238941910007,0.0197238941910007,0.0197238941910007,0.20900795000003747,0.20900795000003747,0.20900795000003747,-0.1892840558090368,-0.1892840558090368,-0.1892840558090368,0.0,0.0,0.0,8.621695463624034
2012-02-10,8.602981347576007,5.869139308118015,11.094164980817322,8.602981347576007,8.602981347576007,-0.13567018905388709,-0.13567018905388709,-0.13567018905388709,0.04940624003280645,0.04940624003280645,0.04940624003280645,-0.18507642908669353,-0.18507642908669353,-0.18507642908669353,0.0,0.0,0.0,8.46731115852212
2012-02-11,8.603991125718983,5.942612534913191,11.177339091297716,8.603991125718983,8.603991125718983,-0.13596133133534474,-0.13596133133534474,-0.13596133133534474,0.042643633516029414,0.042643633516029414,0.042643633516029414,-0.17860496485137412,-0.17860496485137412,-0.17860496485137412,0.0,0.0,0.0,8.468029794383638
2012-02-15,8.60803023829088,5.774120732598236,11.061772866216137,8.60803023829088,8.60803023829088,-0.13272963882306824,-0.13272963882306824,-0.13272963882306824,-0.0007380478025781231,-0.0007380478025781231,-0.0007380478025781231,-0.13199159102049013,-0.13199159102049013,-0.13199159102049013,0.0,0.0,0.0,8.475300599467811
2012-02-17,8.610049794576828,5.934407004462899,11.193790608747376,8.610049794576828,8.610049794576828,-0.04911894385280838,-0.04911894385280838,-0.04911894385280838,0.04940624003293315,0.04940624003293315,0.04940624003293315,-0.09852518388574152,-0.09852518388574152,-0.09852518388574152,0.0,0.0,0.0,8.560930850724018
