농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0000347_01,8,5,1,4,20191209,,,117,20200404,5,0,0,5,,,,,,26,20200430,10
PF_0000347_01,8,6,1,5,20200505,,,117,20200830,16,0,1,15,,,,1,,,,
PF_0000347_01,11,5,1,4,20191223,,,117,20200418,14,0,3,11,,,,,,26,20200514,12
PF_0000347_01,11,6,1,5,20200519,,,119,20200915,3,0,2,1,,,,,,,,
PF_0000347_01,16,5,2,0,20191216,,,117,20200411,17,0,2,15,,,,,,26,20200507,11
PF_0000347_01,16,6,1,5,20200512,,,117,20200906,10,0,3,7,,,,,,,,
PF_0000347_01,30,4,1,4,20190930,,,119,20200127,6,0,2,4,,,,,,24,20200220,10
PF_0000347_01,30,5,1,5,20200225,,,119,20200623,6,0,0,6,,,,,,30,20200723,9
PF_0000347_01,40,4,1,19,20200204,,,120,20200603,7,0,0,7,,,,,,29,20200702,10
PF_0000347_01,47,3,1,5,20190917,,,118,20200113,3,0,2,1,,,,,,31,20200213,9
PF_0000347_01,47,4,1,4,20200217,,,117,20200613,13,0,3,10,,,,,,33,20200716,10
PF_0000347_01,80,8,1,4,20191111,,,116,20200306,14,1,0,13,,,,,,27,20200402,10
PF_0000347_01,80,9,1,4,20200406,,,117,20200801,12,1,1,10,,,,,,33,20200903,10
PF_0000347_01,88,8,1,4,20191014,,,117,20200208,9,0,0,9,,,,2,,33,20200312,9
PF_0000347_01,89,7,1,5,20191022,,,117,20200216,14,1,0,13,,,,,,32,20200319,10
PF_0000347_01,89,8,1,5,20200324,,,118,20200720,11,0,0,11,,,,1,,31,20200820,8
PF_0000347_01,103,6,1,5,20191217,,,117,20200412,13,0,3,10,,,,,,32,20200514,9
PF_0000347_01,109,8,1,4,20191118,,,117,20200314,15,0,2,13,,,,,,26,20200409,10
PF_0000347_01,109,9,1,4,20200413,,,116,20200807,11,0,0,11,,,,,,27,20200903,10
PF_0000347_01,111,8,1,24,20191027,,,117,20200221,12,0,2,10,,,,,,34,20200326,8
PF_0000347_01,111,9,1,5,20200331,,,116,20200725,7,0,2,5,,,,,,33,20200827,9
PF_0000347_01,116,8,1,4,20191209,,,119,20200406,13,0,3,10,,,,,,31,20200507,10
PF_0000347_01,116,9,1,5,20200512,,,118,20200907,17,0,3,14,,,,,,,,
PF_0000347_01,118,8,1,5,20191203,,,118,20200330,11,0,2,9,,,,,,31,20200430,11
PF_0000347_01,124,4,1,5,20190910,,,116,20200104,11,0,2,9,,,,,,26,20200130,10
PF_0000347_01,134,8,1,4,20191104,,,119,20200302,9,0,0,9,,,,,,31,20200402,10
PF_0000347_01,134,9,1,5,20200407,,,118,20200803,10,1,0,9,,,,,,45,20200917,10
PF_0000347_01,137,7,1,18,20200106,,,119,20200504,10,0,1,9,,,,,,24,20200528,9
PF_0000347_01,157,7,1,5,20191008,,,117,20200202,12,0,2,10,,,,,,32,20200305,9
PF_0000347_01,159,7,1,21,20191017,,,121,20200215,14,0,1,13,,,,2,,26,20200312,10
PF_0000347_01,159,8,1,4,20200316,,,120,20200714,13,0,0,13,,,,2,,30,20200813,10
PF_0000347_01,163,7,1,4,20190930,,,119,20200127,7,0,1,6,,,,,,31,20200227,9
PF_0000347_01,166,7,1,5,20191203,,,118,20200330,11,0,1,10,,,,,,24,20200423,10
PF_0000347_01,166,8,1,7,20200430,,,119,20200827,8,0,1,7,,,,,,,,
PF_0000347_01,171,7,1,4,20190923,,,117,20200118,18,0,2,16,,,,,,33,20200220,8
PF_0000347_01,180,7,1,5,20191015,,,117,20200209,10,0,2,8,,,,,,32,20200312,10
PF_0000347_01,180,8,1,5,20200317,,,116,20200711,15,3,0,12,,,,,,33,20200813,8
PF_0000347_01,183,7,1,15,20191101,,,106,20200215,9,0,0,9,,,,,,33,20200319,10
