농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0002615,560,3,1,22,20111010,,,116,20120203,10,0,0,10,,,,,,27,20120301,12
PF_0002615,560,4,1,5,20120306,,,118,20120702,9,0,2,7,,,,,,17,20120719,10
PF_0002615,852,1,1,5,20111227,,,117,20120422,12,0,0,12,,,,2,,25,20120517,10
PF_0002615,852,2,1,6,20120523,,,117,20120917,7,0,0,7,,,,,,17,20121004,10
PF_0002615,1097,0,1,589,20111220,,,108,20120406,15,0,10,5,,,,,,27,20120503,6
PF_0002615,1097,1,1,5,20120508,,,116,20120901,5,0,0,5,,,,,,19,20120920,10
PF_0002615,1473,10,1,4,20110914,,,118,20120110,11,0,3,8,,,,,,30,20120209,10
PF_0002615,1486,10,1,5,20111004,,,116,20120128,12,0,1,11,,,,2,,26,20120223,9
PF_0002615,1494,9,1,4,20111003,,,118,20120129,13,0,3,10,,,,2,,18,20120216,8
PF_0002615,1524,9,1,6,20111004,,,115,20120127,8,0,0,8,,,,,,20,20120216,9
PF_0002615,1526,9,1,25,20111226,,,114,20120418,15,0,4,11,,,,2,,22,20120510,9
PF_0002615,1526,10,1,5,20120515,,,116,20120908,7,0,0,7,,,,,,19,20120927,10
PF_0002615,1531,9,1,4,20111121,,,117,20120317,13,0,2,11,,,,11,,19,20120405,0
PF_0002615,1540,9,1,4,20111128,,,118,20120325,9,0,1,8,,,,,,18,20120412,10
PF_0002615,1540,10,1,4,20120416,,,107,20120801,10,0,0,10,,,,,,36,20120906,10
PF_0002615,1541,9,1,4,20111121,,,116,20120316,12,0,0,12,,,,12,,12,20120328,0
PF_0002615,1545,9,1,4,20110914,,,118,20120110,13,0,2,11,,,,8,,30,20120209,3
PF_0002615,1549,7,1,4,20110914,,,119,20120111,12,0,1,11,,,,1,,29,20120209,10
PF_0002615,1549,8,1,5,20120214,,,118,20120611,11,0,0,11,,,,4,,24,20120705,7
PF_0002615,1549,9,1,5,20120710,,,118,20121105,12,0,2,10,,,,10,,25,20121130,0
PF_0002615,1561,8,1,5,20111115,,,114,20120308,14,0,0,14,,,,4,,21,20120329,10
PF_0002615,1561,9,1,6,20120404,,,117,20120730,13,0,0,13,,,,1,,17,20120816,12
PF_0002615,1561,10,1,5,20120821,,,119,20121218,10,0,1,9,,,,,,23,20130110,9
PF_0002615,1564,8,2,0,20111119,,,121,20120319,10,0,0,10,,,,1,,17,20120405,9
PF_0002615,1565,9,1,4,20111219,,,103,20120331,12,0,5,7,,,,,,33,20120503,7
PF_0002615,1567,9,1,4,20120109,,,118,20120506,15,0,4,11,,,,,,18,20120524,12
PF_0002615,1567,10,1,4,20120528,,,115,20120920,12,0,0,12,,,,2,,21,20121011,10
PF_0002615,1570,8,1,5,20120117,,,118,20120514,14,0,1,13,,,,3,,17,20120531,10
PF_0002615,1570,9,1,5,20120605,,,116,20120929,11,0,0,11,,,,,,26,20121025,11
PF_0002615,1572,9,1,5,20111227,,,116,20120421,11,0,0,11,,,,1,,19,20120510,10
PF_0002615,1572,10,1,4,20120514,,,118,20120909,7,0,0,7,,,,,,18,20120927,8
PF_0002615,1573,8,1,4,20111128,,,115,20120322,14,0,1,13,,,,3,,21,20120412,10
PF_0002615,1573,9,1,5,20120417,,,115,20120810,11,0,0,11,,,,2,,20,20120830,9
PF_0002615,1573,10,1,5,20120904,,,114,20121227,13,0,0,13,,,,5,,21,20130117,8
PF_0002615,1574,7,2,0,20111008,,,114,20120130,14,0,0,14,,,,3,,24,20120223,11
PF_0002615,1574,8,1,4,20120227,,,115,20120621,15,0,4,11,,,,,,21,20120712,11
PF_0002615,1574,9,1,4,20120716,,,118,20121111,3,0,0,3,,,,,,18,20121129,10
PF_0002615,1575,8,1,5,20120104,,,118,20120501,6,0,0,6,,,,,,16,20120517,8
PF_0002615,1575,9,1,5,20120522,,,118,20120917,5,0,0,5,,,,,,17,20121004,5
PF_0002615,1582,6,2,0,20111023,,,117,20120217,15,0,2,13,,,,3,,26,20120314,10
PF_0002615,1582,7,1,42,20120425,,,115,20120818,13,0,0,13,,,,2,,19,20120906,11
PF_0002615,1583,7,1,5,20111018,,,117,20120212,6,0,0,6,,,,,,25,20120308,8
PF_0002615,1583,8,1,5,20120313,,,117,20120708,11,0,3,8,,,,,,18,20120726,10
PF_0002615,1586,7,1,5,20111227,,,116,20120421,15,0,5,10,,,,1,,19,20120510,9
PF_0002615,1586,8,1,5,20120515,,,118,20120910,10,0,0,10,,,,,,24,20121004,10
PF_0002615,1587,7,1,5,20111018,,,115,20120210,8,0,0,8,,,,,,27,20120308,10
PF_0002615,1587,8,1,4,20120312,,,117,20120707,10,0,5,5,,,,,,23,20120730,9
PF_0002615,1587,9,1,6,20120805,,,119,20121202,7,0,0,7,,,,,,25,20121227,9
PF_0002615,1590,6,1,6,20110921,,,119,20120118,12,0,1,11,,,,4,,22,20120209,7
PF_0002615,1590,7,1,25,20120305,,,120,20120703,10,0,2,8,,,,,,16,20120719,10
PF_0002615,1591,7,1,4,20111205,,,117,20120331,14,0,5,9,,,,,,19,20120419,12
PF_0002615,1591,8,1,5,20120424,,,114,20120816,12,0,0,12,,,,2,,28,20120913,10
PF_0002615,1592,6,1,5,20110920,,,117,20120115,9,0,0,9,,,,,,17,20120201,9
PF_0002615,1592,7,3,0,20120502,,,119,20120829,8,0,0,8,,,,,,22,20120920,8
PF_0002615,1594,7,2,0,20120326,,,111,20120715,11,0,0,11,,,,1,,25,20120809,10
PF_0002615,1595,6,1,5,20110915,,,115,20120108,10,0,0,10,,,,1,,24,20120201,9
PF_0002615,1595,7,2,0,20120301,,,114,20120623,12,0,1,11,,,,,,26,20120719,11
PF_0002615,1595,8,1,6,20120725,,,115,20121117,9,0,0,9,,,,,,26,20121213,11
PF_0002615,1598,6,1,4,20110926,,,120,20120124,13,0,1,12,,,,2,,23,20120216,10
PF_0002615,1598,7,1,3,20120219,,,101,20120530,0,0,0,0,,,,,,21,20120620,10
PF_0002615,1598,8,1,18,20120708,,,117,20121102,8,0,0,8,,,,,,20,20121122,8
PF_0002615,1600,7,1,5,20120104,,,117,20120430,13,0,2,11,,,,2,,24,20120524,9
PF_0002615,1600,8,1,5,20120529,,,115,20120921,10,0,0,10,,,,1,,20,20121011,9
PF_0002615,1602,5,2,0,20110911,,,115,20120104,14,0,1,13,,,,2,,22,20120126,11
PF_0002615,1602,6,2,0,20120323,,,114,20120715,13,0,0,13,,,,2,,25,20120809,11
PF_0002615,1603,7,1,4,20120124,,,117,20120520,6,0,1,5,,,,,,25,20120614,7
PF_0002615,1603,8,1,4,20120618,,,114,20121010,12,0,0,12,,,,,,22,20121101,12
PF_0002615,1605,6,1,4,20111021,,,118,20120216,9,0,0,9,,,,,,21,20120308,10
PF_0002615,1605,7,1,5,20120313,,,117,20120708,12,0,0,12,,,,5,,18,20120726,7
PF_0002615,1605,8,1,5,20120731,,,117,20121125,10,0,0,10,,,,,,18,20121213,10
PF_0002615,1606,6,1,4,20111121,,,115,20120315,10,0,0,10,,,,2,,28,20120412,8
PF_0002615,1609,5,1,5,20110915,,,117,20120110,14,0,0,14,,,,2,,22,20120201,12
PF_0002615,1609,6,1,63,20120404,,,113,20120726,14,0,0,14,,,,4,,21,20120816,10
PF_0002615,1609,7,1,4,20120820,,,117,20121215,12,0,2,10,,,,2,,19,20130103,8
PF_0002615,1611,5,1,5,20110927,,,118,20120123,15,0,4,11,,,,3,,24,20120216,8
PF_0002615,1611,6,2,0,20120515,,,117,20120909,5,0,0,5,,,,,,25,20121004,5
PF_0002615,1612,6,1,5,20111227,,,117,20120422,7,0,3,4,,,,,,18,20120510,9
PF_0002615,1612,7,1,4,20120514,,,119,20120910,9,0,1,8,,,,,,17,20120927,8
PF_0002615,1613,6,1,4,20111017,,,116,20120210,11,0,1,10,,,,2,,27,20120308,8
PF_0002615,1613,7,1,4,20120312,,,116,20120706,10,0,1,9,,,,,,20,20120726,11
PF_0002615,1614,4,1,4,20111031,,,117,20120225,13,0,0,13,,,,4,,19,20120315,9
PF_0002615,1614,5,2,0,20120430,,,117,20120825,12,0,1,11,,,,,,19,20120913,11
