농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0020199,318,1,1,5,20170912,,,152,20180211,15,0,0,15,,,,,,27,20180310,11
PF_0021283,70,0,1,245,20180301,,,116,20180625,14,0,0,14,,,,,,31,20180726,12
PF_0021283,70,1,1,30,20180825,,,116,20181219,14,0,0,14,,,,,,23,20190111,10
PF_0021283,71,0,1,264,20180320,,,119,20180717,16,0,8,8,,,,,,30,20180816,8
PF_0021283,72,0,1,269,20180325,,,117,20180720,11,0,1,10,,,,,,27,20180816,10
PF_0021283,73,0,2,0,20180715,,,116,20181108,11,0,0,11,,,,,,22,20181130,10
PF_0021283,74,0,1,244,20180510,,,117,20180904,9,0,0,9,,,,,,27,20181001,13
PF_0021283,75,0,1,263,20180702,,,115,20181025,15,0,2,13,,,,,,36,20181130,11
PF_0021283,76,0,1,272,20180718,,,117,20181112,19,0,0,19,,,,,,18,20181130,11
PF_0021283,77,0,1,270,20180716,,,118,20181111,4,0,0,4,,,,,,19,20181130,8
PF_0021283,78,0,1,258,20180808,,,117,20181203,6,0,0,6,,,,,,18,20181221,10
PF_0021283,79,0,1,247,20180730,,,117,20181124,14,0,1,13,,,,,,27,20181221,13
PF_0021283,64,1,1,6,20180104,,,115,20180429,9,0,0,9,,,,,,25,20180524,9
PF_0021283,64,2,2,0,20180621,,,114,20181013,10,0,2,8,,,,,,27,20181109,11
PF_0021283,65,0,1,297,20171210,,,115,20180404,14,0,1,13,,,,,,30,20180504,12
PF_0021283,65,1,3,0,20180714,,,116,20181107,17,0,0,17,,,,,,23,20181130,12
PF_0021283,66,0,1,256,20171225,,,117,20180421,10,0,0,10,,,,,,33,20180524,10
PF_0021283,66,1,1,24,20180617,,,113,20181008,13,0,2,11,,,,,,32,20181109,10
PF_0021283,67,0,1,287,20180131,,,115,20180526,11,0,2,9,,,,,,40,20180705,10
PF_0021283,68,0,1,255,20180120,,,115,20180515,17,0,1,16,,,,,,30,20180614,12
PF_0021283,81,0,1,240,20180824,,,116,20181218,11,0,2,9,,,,,,24,20190111,9
