"임차료",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,101,55,10,35,159,310,392,118,199,4,139,0,16,34,3,116,0,4,21,0,0,22,125,69,0,19,2,105,61,0,32,2,35,25,0,37,2,50,35,2,42,88,55,54,2,2,81,8,19
"농구비",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9105,6276,5692,5182,5950,6557,6185,4222,4461,4990,6183,5472,4289,3690,4372,7129,5114,4666,3768,4455,6983,5464,4637,4286,4768,7266,6748,4904,4478,5135,10205,6791,5151,5090,5941,8896,6953,5990,5186,5989,8352,7891,5912,4923,5979,8108,7757,6913,5406,6335,8882,8947,7274,5391,6674,10880,9245,9523,6474,7857
"감가상각비",3264,3165,2569,2784,2921,5600,5416,3328,2790,3953,6118,4969,3900,2909,3965,6742,4358,3572,3480,4126,7559,4797,3964,3586,4363,5711,5641,3575,3815,4345,5435,4811,3776,3024,3724,6336,4725,4194,2842,3710,6328,4903,4230,3509,4097,6614,6124,4303,3665,4400,9485,6054,4673,4325,5235,8039,6025,5213,4468,5208,7844,7084,5014,4210,5230,7522,7046,5915,4679,5574,8159,8232,6430,4543,5862,10249,8209,8131,4953,6517
"수리유지비",243,331,338,195,262,254,233,168,303,255,337,412,358,450,412,458,558,621,824,677,1275,1258,1496,1446,1394,548,415,488,440,454,490,530,424,492,488,526,274,332,719,560,384,386,277,583,484,461,440,367,621,538,389,394,367,570,481,478,606,579,440,501,245,549,603,444,478,396,522,679,527,543,372,471,618,591,556,408,662,985,1157,977
"임차료",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,8,17,19,18,49,20,49,104,72,68,14,0,67,46,83,4,3,11,15,90,9,3,1,10,18,1,4,10,8,6,89,8,34,39,7,49,2,36,30,0,47,2,57,39,2,7,1,91,52,117,5,0,56,41,2,0,40,0,7
"소농구비",77,80,92,61,74,109,122,84,142,122,242,144,100,142,147,243,239,174,205,213,239,213,215,131,175,249,109,110,102,119,190,117,89,107,114,184,111,137,196,170,181,166,127,193,177,173,183,230,182,189,325,254,103,161,186,372,273,196,242,250,263,211,293,212,232,188,182,318,109,166,234,239,226,201,215,221,374,367,364,356
"영농시설비",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9283,6433,6203,6914,6970,6086,5542,4789,5066,5221,6587,4899,5169,6137,5782,6307,5353,4908,6317,5922,7333,6518,6212,5894,6170,6846,7513,6200,6205,6468,7183,8100,6100,7465,7328,7900,6498,6703,6141,6460,7712,6521,7135,5395,6142,7366,6645,7450,6301,6651,8522,9096,7425,7055,7628,11163,8481,7394,6830,7561
"감가상각비",3261,3016,3051,2997,3052,3554,3212,3083,2536,2945,3226,2651,2884,2483,2680,5157,2728,3305,2842,3190,4279,3023,3234,3300,3344,4179,4265,3224,3857,3869,4298,3921,3427,4069,3954,4785,4167,3693,3815,3948,4840,4279,3752,3842,3985,4818,4529,3637,3750,3943,4845,4125,3712,4544,4339,5089,4042,4546,4409,4419,4780,4519,4645,4045,4314,5307,4713,4357,4387,4515,6182,6748,5640,4454,5237,7920,5284,5891,4794,5306
"수리유지비",602,585,761,670,653,659,884,973,766,817,875,1275,1513,1212,1238,2349,1576,2501,5702,3717,3858,3002,2956,3450,3322,1213,1104,1565,1126,1203,1767,978,1742,1970,1724,1242,1141,1099,2424,1878,1965,2219,2377,1962,2072,1503,2852,2557,2371,2411,2330,3892,2299,2921,2956,2720,2378,1927,1721,1971,2803,1952,2252,1268,1718,2058,1929,2854,1799,2030,2183,2279,1579,2449,2246,3116,3197,1486,2034,2242
"임차료",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1146,408,13,164,304,694,173,0,83,149,522,0,0,98,104,280,45,116,78,96,528,20,83,90,113,525,132,6,84,114,8,83,89,0,33,91,78,230,11,70,129,50,238,82,110,1,3,239,115,106,157,69,206,152,145,127,0,17,2,13
"기타재료비",1878,1350,1690,1778,1668,1650,1608,914,2172,1739,971,957,773,1113,1000,1822,1658,1617,1934,1798,-,-,-,-,-,2860,1846,1366,1645,1762,2196,1076,1421,1291,1360,2331,1496,1624,1430,1552,1468,1493,1404,1179,1292,1693,1591,1611,951,1219,1839,1407,857,2012,1667,1822,1584,1224,1582,1538,1648,1483,1357,1267,1358,1270,1795,1509,1373,1471,1574,1898,1418,1721,1692,2343,1476,943,1202,1293
"차입금이자",1531,2290,2345,1167,1714,1145,2247,1890,1099,1539,2279,2111,1815,1183,1648,2376,2587,2271,2134,2299,2369,2118,1812,2251,2164,1723,3360,1976,1438,1956,2591,4936,2143,2744,3043,2499,2600,1999,2540,2464,1839,1941,3518,2538,2536,1905,2193,2633,2831,2622,2250,2119,2203,3566,2902,2010,2394,2705,3216,2861,2678,2095,2643,2498,2462,2688,2643,2489,3240,2949,4063,2770,2525,3329,3138,5141,5468,3811,3709,4170
